time,glass_temp_zone1,glass_temp_zone2,glass_temp_zone3,glass_temp_zone4,RPM,energy_equivalent,batch,recipe,pressing_pressure,pressing_time,geometry_final,geometry_name,glass_ID,cycle_time,temp_chamber05,temp_chamber07,temp_chamber09,temp_chamber11,temp_chamber13,temp_chamber15,temp_chamber17,regulation_temp,optics_ok
2021-02-12 15:04:17,652.6871515151515,635.850989010989,589.9895604395605,601.0710303030303,3000,151.78661955594407,Batch-5,Recipe-C,150.0,70.0,-0.1187999993562698,Center Q1,2010141804103988,2450.0,599.3333333333334,616.3478260869565,643.04,636.0,627.0,609.6521739130435,587.0,459.0,0.0
2021-02-12 15:04:42,652.9989696969698,635.8242857142858,589.497912087912,601.0138787878788,3000,151.80259458300958,Batch-5,Recipe-C,171.0,70.0,0.1395999938249588,Center Q1,2010141804333989,2450.0,600.0,617.0,643.75,635.7083333333334,626.84,609.7916666666666,587.0,459.2999877929688,0.0
2021-02-12 15:05:06,653.0782424242425,635.6906043956044,590.5324175824176,601.7182424242424,3000,151.8780716506087,Batch-5,Recipe-C,150.0,70.0,0.1555999964475631,Center Q1,2010141805153991,2450.0,600.125,617.0,643.0,635.6666666666666,627.0,610.304347826087,587.0,459.3999938964844,1.0
2021-02-12 15:05:31,652.9221212121213,635.8057692307692,589.575989010989,601.0915757575758,3000,151.77700665319864,Batch-5,Recipe-C,167.0,70.0,-0.0228000003844499,Center Q1,2010141805353992,2450.0,600.375,617.0,643.0,636.0,626.8260869565217,610.4090909090909,587.0,459.6000061035156,0.0
2021-02-12 15:05:56,652.4781818181817,634.8433516483516,589.8585714285715,600.9862424242425,3000,151.7584643085988,Batch-5,Recipe-C,150.0,70.0,-0.1438000053167343,Center Q1,2010141805543993,2450.0,601.0,617.0,643.48,636.3809523809524,626.64,610.2173913043479,587.0,459.6000061035156,0.0
2021-02-12 15:06:21,652.611393939394,635.1818681318681,589.3873076923078,600.6346060606062,3000,151.74574022222225,Batch-5,Recipe-C,163.0,70.0,-0.0421999990940094,Center Q1,2010141806143994,2450.0,601.0,617.5652173913044,644.0,636.4,626.5833333333334,610.36,587.0,459.7999877929688,0.0
2021-02-12 15:06:45,652.8181818181819,635.1791208791209,589.5656593406593,600.9641818181817,3000,151.79147440675993,Batch-5,Recipe-C,171.0,70.0,0.1154000014066696,Center Q1,2010141806533996,2450.0,601.375,618.0,644.0,636.2608695652174,626.6521739130435,610.0,587.0,460.0,0.0
2021-02-12 15:07:10,653.1859393939394,635.4144505494505,589.4237362637363,601.0932727272727,3000,151.81153871199172,Batch-5,Recipe-C,192.0,70.0,0.5616000294685364,Center Q1,2010141807123997,2450.0,601.1739130434783,617.84,644.48,636.5,626.7391304347826,610.0,587.0,460.0,0.0
2021-02-12 15:07:35,652.6795757575758,635.4192857142857,588.882032967033,600.6664242424242,3000,151.71153594871794,Batch-5,Recipe-C,204.0,70.0,0.3422000110149383,Center Q1,2010141807333998,2450.0,600.72,617.3809523809524,644.6666666666666,637.4347826086956,626.625,610.0,587.0,459.5,0.0
2021-02-12 15:07:59,653.3841818181818,635.7548351648353,589.6360989010989,601.3698181818181,3000,151.8595615982906,Batch-5,Recipe-C,196.0,70.0,0.9503999948501588,Center Q1,2010141807523999,2450.0,601.0,617.8,644.5416666666666,637.0,626.3333333333334,609.7916666666666,587.0,459.3999938964844,1.0
2021-02-12 15:10:51,653.0527272727272,635.1848901098901,589.9442857142857,601.3620606060606,3000,151.8196421085211,Batch-5,Recipe-C,190.0,64.0,0.1136000007390976,Center Q1,2010141809564005,2450.0,600.0,617.25,645.4347826086956,637.0,626.7083333333334,610.0,587.0,458.8999938964844,1.0
2021-02-12 15:11:16,653.3953333333334,635.7836813186814,589.455989010989,601.1623636363638,3000,151.81867176003627,Batch-5,Recipe-C,190.0,71.0,0.4715999960899353,Center Q1,2010141810574006,2450.0,599.5833333333334,617.0,644.8181818181819,637.0,626.6521739130435,610.4782608695652,587.0,458.8999938964844,1.0
2021-02-12 15:11:40,653.2101818181818,635.6854945054946,589.5171428571429,600.9609090909091,3000,151.83648093395493,Batch-5,Recipe-C,190.0,66.0,0.3723999857902527,Center Q1,2010141811424008,2450.0,599.7916666666666,617.0,644.0434782608696,636.625,626.5,610.0833333333334,587.0,458.7000122070313,1.0
2021-02-12 15:12:05,653.312787878788,635.425934065934,589.8856593406592,601.4321818181818,3000,151.83804130121732,Batch-5,Recipe-C,190.0,66.0,0.6880000233650208,Center Q1,2010141811584009,2450.0,600.0,617.0,644.5833333333334,637.2173913043479,626.75,609.8260869565217,587.0,458.1000061035156,1.0
2021-02-12 15:12:54,653.0887878787878,635.2605494505494,589.2256593406593,600.9655151515151,3000,151.78101474423727,Batch-5,Recipe-C,190.0,74.0,0.3790000081062317,Center Q1,2010141813014012,2450.0,599.5909090909091,617.0,644.4782608695652,637.0416666666666,626.7391304347826,609.6666666666666,587.0,457.8999938964844,1.0
2021-02-12 15:13:19,653.1052727272727,635.2596703296704,589.6571428571427,601.2180000000001,3000,151.7994325283605,Batch-5,Recipe-C,190.0,69.0,0.356799989938736,Center Q1,2010141813234013,2450.0,599.7391304347826,617.0,644.6666666666666,637.0,626.75,610.0,587.1666666666666,457.5,1.0
2021-02-12 15:13:43,652.7337575757575,634.7345604395604,589.5798351648352,601.2107272727272,3000,151.78419767197616,Batch-5,Recipe-C,190.0,68.0,-0.2608000040054321,Center Q1,2010141812404011,2450.0,599.1666666666666,616.5652173913044,644.5,636.695652173913,626.75,610.0,587.3333333333334,456.6000061035156,1.0
2021-02-12 15:14:31,653.0100606060606,635.8366483516484,589.6896703296702,600.9410909090909,3000,151.83905973322973,Batch-5,Recipe-C,190.0,63.0,0.2401999980211258,Center Q1,2010141814224016,2450.0,600.0,617.0,643.7391304347826,636.5416666666666,626.0,609.7083333333334,587.0,456.3999938964844,1.0
2021-02-12 15:14:56,652.7618181818183,634.8581868131868,589.4906593406594,601.0065454545455,3000,151.7848713127428,Batch-5,Recipe-C,190.0,68.0,0.3580000102519989,Center Q1,2010141814444017,2450.0,599.7916666666666,617.0,644.0416666666666,636.8333333333334,626.0869565217391,610.4782608695652,587.0,456.2999877929688,0.0
2021-02-12 15:15:20,652.8576363636364,635.4561538461537,589.3142307692307,600.7701212121212,3000,151.75559585418287,Batch-5,Recipe-C,190.0,68.0,0.1891999989748001,Center Q1,2010141815054018,2450.0,600.0,617.0,644.0,636.4166666666666,626.4583333333334,610.2083333333334,587.0,456.3999938964844,1.0
2021-02-12 15:15:46,652.6221212121213,634.5041208791208,589.3497802197803,600.6227272727273,3000,151.70712143343695,Batch-5,Recipe-C,190.0,66.0,-0.1941999942064285,Center Q1,2010141815274019,2450.0,600.5217391304348,617.0,644.5416666666666,636.6666666666666,626.0869565217391,610.0,587.0,456.3999938964844,1.0
2021-02-12 15:16:59,652.0698181818183,634.6533516483516,589.481978021978,600.4084242424242,3000,151.72967235949238,Batch-5,Recipe-C,190.0,56.0,-0.3296000063419342,Center Q1,2010141816484023,2450.0,599.0,616.0833333333334,644.0,637.4583333333334,627.96,610.0,587.0,456.6000061035156,1.0
2021-02-12 15:17:23,652.2720606060607,634.9022527472528,589.6901648351649,600.7653939393938,3000,151.71162721250974,Batch-5,Recipe-C,190.0,59.0,-0.6949999928474426,Center Q1,2010141817314025,2450.0,599.304347826087,616.0,643.0434782608696,636.6521739130435,627.0,610.0,587.0,456.7999877929688,1.0
2021-02-12 15:18:37,652.691393939394,635.9824725274726,588.9742307692309,600.6127272727273,3000,151.7355277652163,Batch-5,Recipe-C,190.0,69.0,-0.165800005197525,Center Q1,2010141818274028,2450.0,600.2916666666666,616.0,644.0,636.5,626.0,610.0,587.0,456.7999877929688,1.0
2021-02-12 15:19:02,652.6490303030303,635.3079120879121,588.9207692307692,600.7042424242425,3000,151.70894056682206,Batch-5,Recipe-C,190.0,76.0,0.1216000020503997,Center Q1,2010141819064030,2450.0,600.695652173913,616.4583333333334,644.0,636.5,626.0,610.0,587.0,457.2999877929688,1.0
2021-02-12 15:19:27,652.7583636363638,635.4135164835167,588.9927472527472,600.7959999999999,3000,151.73938794522144,Batch-5,Recipe-C,190.0,74.0,0.1788000017404556,Center Q1,2010141819294031,2450.0,600.75,616.28,643.9565217391304,636.5416666666666,626.0,609.75,587.0,457.2999877929688,0.0
2021-02-12 15:19:51,652.1629696969696,635.1746703296702,588.3525824175824,600.1133333333332,3000,151.6296918254338,Batch-5,Recipe-C,190.0,78.0,-0.0165999997407197,Center Q1,2010141819494032,2450.0,600.4583333333334,616.0,643.0,636.64,626.0,609.8333333333334,587.0,457.5,0.0
2021-02-12 15:20:15,652.5928484848484,635.1566483516484,588.9080769230768,600.3770303030302,3000,151.71080644845895,Batch-5,Recipe-C,190.0,70.0,0.2173999994993209,Center Q1,2010141820094033,2450.0,600.4583333333334,616.3478260869565,642.7391304347826,636.4166666666666,626.0,609.4583333333334,587.0,457.5,1.0
2021-02-12 15:20:39,652.4670303030304,634.4145604395604,589.0126923076923,600.5457575757575,3000,151.67065222390573,Batch-5,Recipe-C,190.0,73.0,0.1070000007748603,Center Q1,2010141820314034,2450.0,599.4583333333334,616.0,642.12,636.6666666666666,626.0,610.0,587.0,457.5,1.0
2021-02-12 15:21:04,652.0126666666666,634.3582967032968,589.2343956043958,600.4564242424242,3000,151.65493488694636,Batch-5,Recipe-C,190.0,65.0,-0.2088000029325484,Center Q1,2010141821114036,2450.0,599.9565217391304,616.0,642.5,636.4583333333334,626.0,610.0,587.0,457.2000122070313,1.0
2021-02-12 15:21:29,652.5053939393938,635.3921978021979,589.0273076923078,600.5470303030303,3000,151.69007445817147,Batch-5,Recipe-C,190.0,68.0,-0.1886000037193298,Center Q1,2010141821334037,2450.0,600.16,616.0,643.2916666666666,636.0,626.0,609.6666666666666,587.0,457.5,1.0
2021-02-12 15:21:54,652.6319393939393,635.4321428571427,590.3346153846154,601.3929696969698,3000,151.82337242501944,Batch-5,Recipe-C,190.0,53.0,-0.2249999940395355,Center Q1,2010141821534038,2450.0,599.6086956521739,615.7083333333334,643.0,635.304347826087,626.0,610.4090909090909,587.0,457.8999938964844,1.0
